"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NXN",4.89731097594782,5.95044894754208,5.93579401928752,6.3813886311438e-06,0.000317793153830961,1.34085342779632
"OCIAD1",4.89279729175719,5.92589807837804,5.85735564074597,7.64328183005983e-06,0.000356845720440918,1.2175442989789
"CNDP2",-5.34856523392049,7.89054806677118,-4.91661707970994,6.97561557940261e-05,0.00212685095420969,1.04627768752449
"TMEM43",3.98735561800254,8.61232502895525,4.61297945556003,0.000144423188770411,0.00332740006593042,1.04194098636719
"HMGCS2",4.89673065636213,5.81084566820539,5.68496123232046,1.13903682967297e-05,0.000500506183391595,1.02806685720382
"CLIC5",-5.32384676227209,7.90467558252409,-4.88230736107688,7.57162500834589e-05,0.00226240155249375,1.02020332339434
"NSF",3.78805205359215,8.54577609693184,4.41238573204271,0.000234047331693557,0.00478995498013937,0.646451993435941
"XRCC5",4.40868086382923,6.26763276586031,5.3314877776608,2.60539193552088e-05,0.00108123765324116,0.558775870308574
"ESYT1",-5.6223263313445,7.66867749562436,-4.72052529787522,0.000111550284581258,0.00308622454008148,0.269733983682427
"VTN",4.44636581116223,6.24905036750579,5.04126232581646,5.18203555250019e-05,0.00172139215434048,0.18225222182972
"CAND1",4.31433012488316,6.10796194285667,4.82257004250728,8.734854496341e-05,0.00255879855245754,-0.10375438224604
"MATR3",4.47759478253002,6.03939071621174,4.75599880177633,0.000102452328110866,0.00294353419610835,-0.168750302506711
"CKAP4",4.0371182816371,6.61163556711279,4.73177546547242,0.000108579992122916,0.00306072657040824,-0.22971125793447
"MYO18A",4.34050168734281,6.05459902731966,4.70734106126693,0.000115135640475393,0.00309412259324381,-0.23825936492419
"FKBP4",4.43608518242746,6.00739303818241,4.68256381817204,0.000122190919010298,0.00309412259324381,-0.258736010957576
"LGALSL",4.42669627961612,6.17454444102462,4.69227671881145,0.000119374695202155,0.00309412259324381,-0.263647317851118
"RPS24",3.99106450719094,6.66746157085284,4.70252855665577,0.000116473110696617,0.00309412259324381,-0.269730132044137
"HNRNPF",3.99779083298655,6.56098542406408,4.68711827933331,0.000120862127678029,0.00309412259324381,-0.285460763948724
"GNAS",3.97907336524961,6.61719812842378,4.67525293694226,0.000124354758704033,0.00309643349173043,-0.302841021769119
"NUP62",3.9254216129501,6.60532442649826,4.64979580903686,0.000132195175959033,0.00318779595672155,-0.336039469734252
"APCS",4.01144536868521,6.78906925157163,4.64949291917696,0.000132291398471711,0.00318779595672155,-0.338478086638812
"EPRS1",3.5782953009108,8.2176363271336,4.10803842060741,0.000487380252794497,0.00812201143404501,-0.357596413015399
"RO60",4.03106095677172,6.56321291475919,4.62143148179333,0.000141518904116839,0.00332740006593042,-0.369896262163841
"PMPCA",3.91261419258713,6.54506066802182,4.58975842889771,0.000152714943060882,0.0034569109838327,-0.411420382153858
"SCARB2",-5.29919820735617,7.62309474468168,-4.30653220173647,0.000302057736700028,0.00601699011506456,-0.419075697815229
"GMPPB",3.48083562350268,8.42283486844197,3.96412288806253,0.000689214991747406,0.0102968719767062,-0.430758144863589
"DIABLO",4.25530873386188,6.62677382353397,4.577700846175,0.000157207714627707,0.00350549739781783,-0.432208493624903
"CBR4",3.97278259461941,6.56140200465495,4.56857518405639,0.000160696213140636,0.00353059032988397,-0.44387580887774
"EPM2A",-5.28284403730429,7.61714793232964,-4.28948747839432,0.000314726449300493,0.00618685941124917,-0.451225467859635
"PSMD8",4.05907396049588,6.37568252298276,4.5134587607469,0.000183484362474554,0.00386092447235188,-0.511975772294952
"EIF4A1",3.97466040324039,6.5935357488458,4.51568886718171,0.000182502145609344,0.00386092447235188,-0.513140244489696
"RSU1",-5.26621798096339,7.59594635659739,-4.26220942286043,0.000336116877648635,0.00643793096419308,-0.513247121855452
"SART3",4.33217187594451,6.04396100452853,4.61199196149515,0.000144766401797508,0.00332740006593042,-0.514434982073213
"SPEG",3.94339635996737,6.3961350085482,4.49200303082878,0.000193209842439132,0.00400910423061199,-0.543648958458271
"HTRA2",4.30455459068738,5.99545900990788,4.54681999098052,0.000169329938056457,0.00366636126748329,-0.648122440708256
"ACAD8",-5.12879056385199,7.64400504830761,-4.13996747388353,0.00045128868036496,0.00793206221723825,-0.653598914208985
"FLOT2",-5.08644589165326,7.58433106623636,-4.09058711266967,0.000508308651195373,0.00834519917457019,-0.78601340338287
"NME1",-5.23480384607652,7.43247497184433,-4.14018007639273,0.000451057524584404,0.00793206221723825,-0.811598973486787
"RPS27",4.09569746475871,6.39167500265725,4.26354494601504,0.00033503652801431,0.00643793096419308,-0.849961284876112
"RPS8",3.23885491497029,8.29109469836429,3.76982564628956,0.00109895534466888,0.0134661760517463,-0.888427787214225
"MAP2K4",3.54475900171604,7.08486383418268,4.21902300711693,0.000372994216562319,0.0069656669943013,-0.890439448943348
"PPP2R2A",3.61408296971992,6.9715056919242,4.19253777362507,0.00039758336986329,0.00733320437747845,-0.938522818011804
"TLN2",3.5605420272433,6.99843292200328,4.18080024371782,0.000408992229688881,0.00745163891652669,-0.952334839548639
"PLG",3.60036948552459,6.94975231263354,4.12257081071359,0.000470609547523021,0.00809457338650614,-1.01568701076131
"DYNC1LI1",3.61087575492566,6.84610549249361,4.12190010063823,0.000471370739374855,0.00809457338650614,-1.02855293117783
"DYNC1H1",3.61228486664639,6.78250588412193,4.11007750635679,0.000484991636622778,0.00812201143404501,-1.0493865363344
"USP15",3.6498659830996,6.73561027232429,4.10642563659148,0.000489277797231627,0.00812201143404501,-1.05713523194384
"ERP29",3.15799539206263,8.27490249243955,3.68610924253276,0.00134274046193062,0.0150157986738037,-1.05941984985438
"FGB",3.61721734364213,7.29526817417026,4.06436991899681,0.000541444676041737,0.00842623277089953,-1.07281243913434
"DRG1",3.49494014622932,6.82652287130015,4.06621210298764,0.000539047619194802,0.00842623277089953,-1.10515541541138
"TMT1A",3.64863291453819,6.80164071129836,4.06787553767313,0.000536892235562438,0.00842623277089953,-1.10700975488407
"PLAA",-4.89618155866375,7.58315992097401,-3.8802964034757,0.000843085794826806,0.0117716839016004,-1.10813067978348
"EIF2S3",3.66755879303717,6.66344126531024,4.0675321064983,0.000537336529634684,0.00842623277089953,-1.11267232565977
"KLC1",4.22538357319673,5.88537413569165,4.24982101350051,0.000346305823359156,0.00654912531770352,-1.13035829839995
"NIPSNAP3B",3.14475917206757,8.66317367741508,3.71487958523999,0.00125346801141685,0.0142952764050135,-1.13233995090393
"NCK2",3.60813104837264,6.6701661577938,4.0519846786601,0.000557838364362543,0.00859186099337772,-1.13384608629237
"ARCN1",3.53922943316678,6.72702455785082,4.04454218574986,0.00056792640099946,0.0086579800315632,-1.14179590117147
"RTN2",3.52204886144535,6.91228952289017,4.03370871166051,0.000582936283418617,0.00879703845886277,-1.14206377437525
"ECPAS",-5.03712608542529,7.35966676123101,-3.92129255327488,0.000763987935080132,0.0110815337379584,-1.17167286065087
"GRB2",3.09590154707301,8.27105081308849,3.63183389453054,0.00152856127501283,0.0154742988107832,-1.17404491467652
"PPA1",-5.00534993729712,7.41771860823058,-3.87541605194267,0.000853027231315598,0.0118002100331991,-1.20939083700005
"IMPA1",-5.01628064611472,7.45466080730723,-3.85303359833271,0.00090013063960931,0.0121813251395889,-1.2273524775172
"PPP2CB",3.14542027102961,8.70484838255867,3.71832568067121,0.00124317603680887,0.0142869615307112,-1.22901140900368
"TBC1D17",3.90528051125326,6.29719577918944,4.07701260427758,0.000525205150614053,0.00842623277089953,-1.23298749331247
"OTUB1",-5.00560944673297,7.44148583812705,-3.8493000405145,0.000908234945665262,0.0121813251395889,-1.23826504798521
"RPL21",3.43495710923693,7.3244400537717,3.92697592462031,0.000753620347966883,0.0110383215672796,-1.25768536232462
"CPNE3",3.42352243842423,7.2678697309048,3.91539089341769,0.000774903600416951,0.0111317882598358,-1.28156620702288
"CPPED1",3.4485669730918,7.37677726172474,3.88584683557806,0.00083191898542594,0.0117714859239329,-1.30980824978019
"ADIPOQ",-5.0684249419517,7.40146547146322,-3.8121207352313,0.000992988757054062,0.0129002191568589,-1.31443290760067
"CTSG",3.32181587755915,7.22766753458167,3.88421215374138,0.000835192441724825,0.0117714859239329,-1.32476345508457
"DDX17",4.8987210582616,5.24104851294579,4.35309641810153,0.0002699907365454,0.00545089405944361,-1.35806135661141
"LAMTOR5",3.28928406643877,7.32036115818087,3.85438467703472,0.000897215595182705,0.0121813251395889,-1.35890297693277
"ALDH6A1",-5.0073484458952,7.3327025895617,-3.79240730758028,0.00104105782757123,0.0131808507999273,-1.36590233172228
"SLC25A6",2.97057645535536,8.62426693510056,3.57730830613075,0.00174070081587292,0.0168870585643775,-1.39574542329892
"PMPCB",3.24732008282612,7.25250126873982,3.81965022827836,0.000975214581285855,0.0128935449950537,-1.41499668756101
"BTF3L4",-4.95008529607582,7.27877074687664,-3.77242463531723,0.00109213283340615,0.0134661760517463,-1.41555876152067
"SNAP23",3.21069718317277,7.26671454909122,3.81266429522591,0.000991694952973995,0.0129002191568589,-1.42095843925172
"DENR",3.3093363584486,7.35117792901253,3.80039474426019,0.00102130989352288,0.0131537670769241,-1.43175597847637
"RPL18",3.3696849770466,7.14011170974577,3.79649230562815,0.00103091142372185,0.0131639458721406,-1.43535243201285
"RTCA",-4.92825250991628,7.26748543283422,-3.75942277161032,0.00112668809000554,0.0134661760517463,-1.44095164401617
"TECR",3.1733191226621,7.36585982864946,3.78542975865351,0.0010586178592984,0.0132905469058136,-1.442844035765
"DARS1",3.48532424984533,7.34840585841316,3.76167975226879,0.00112061307901591,0.0134661760517463,-1.45860859115834
"SNTB1",-4.89379497462047,7.26494516294176,-3.73510096857954,0.00119425558643007,0.0140940800634914,-1.47674510116296
"A2M",3.10053902068993,8.73255100019214,3.64840388372075,0.00146929341354908,0.0154008784462955,-1.48202729713362
"CSDE1",2.86196387185789,8.58894690934112,3.47244558908371,0.00223316939732962,0.0189073192863481,-1.51920825713072
"CAPN2",2.85429935534275,8.60456242597398,3.46817331741729,0.00225589629966775,0.0189343206275485,-1.53631628793727
"MYH13",3.44557123577983,7.84146392406168,3.5278164378311,0.00195817117564246,0.0182844233525615,-1.55275867041347
"CSTB",3.06847874090013,8.11339333173607,3.52467424864121,0.00197284545532335,0.0183070255295223,-1.56386494700121
"GLUD1",-4.85058028819614,7.27530489606149,-3.65923559634293,0.00143178058354915,0.0153757831715663,-1.58096079197289
"PNPO",3.62886002480146,6.76296839558277,3.72385973616599,0.001226822604226,0.0142083176024314,-1.58280342839433
"RPL13",3.21078073829929,7.10191123356569,3.66716208179054,0.00140492912872405,0.0153757831715663,-1.62214564025843
"ADPRS",-4.82575817963895,7.27341490807102,-3.62781515872822,0.00154328682918788,0.0154742988107832,-1.6259490677679
"MAP2K6",-4.80826926331477,7.11998962356993,-3.65056169203561,0.00146174393008563,0.0154008784462955,-1.63336682264972
"LAMB2",3.23580962953203,7.14865207508123,3.64703189618303,0.00147411353267755,0.0154008784462955,-1.64719569322907
"YWHAB",3.43752888560486,7.17437405534017,3.63369935232058,0.00152177293966404,0.0154742988107832,-1.66180621732807
"TMED9",3.17420874078563,7.15647890401348,3.62799303361935,0.00154263210978579,0.0154742988107832,-1.67175697674915
"ATIC",2.93954356090105,8.71750570510607,3.52861876402438,0.00195444145763874,0.0182844233525615,-1.68068623866366
"UBE2V2",2.98386868268043,8.11944088733044,3.44269023089359,0.00239624013210184,0.0195689552776564,-1.6907020183713
